"","logFC","AveExpr","t","P.Value","padj","B"
"CR1",1.83993449362568,6.29571058287658,5.12840801532836,1.68831152390353e-05,0.00501597353751737,2.98434661090432
"WNT5B",-0.520909444745556,0.465370096231203,-5.12192190942826,1.71930238879053e-05,0.00504498508355226,2.96733558787538
"LINC01270",1.9732169645444,3.814828539617,5.11448675901726,1.75552838019114e-05,0.00508846323663206,2.94783547510806
"GALNT14",2.40280381738788,3.98324242831879,5.10611048276787,1.7972549810962e-05,0.00514664534827645,2.92586707806316
"C16orf74",-1.06900560428091,1.30981554482029,-5.09774170863553,1.83993462812484e-05,0.00519107820738699,2.9039184193151
"LOXL1",1.50272465648482,2.44905574871804,5.09281769182111,1.86551848206162e-05,0.00519107820738699,2.89100432985267
"LONRF3",1.44943859856537,1.73545522744613,5.08267687738584,1.91933338031608e-05,0.00519107820738699,2.86440847997226
"FCGR1B",2.12810089836405,4.81860467681129,5.08252288985827,1.92016240618811e-05,0.00519107820738699,2.86400462643708
"GP6",1.04120537596269,1.81192484628792,5.08218654671729,1.92197442885415e-05,0.00519107820738699,2.86312252044178
"HIST1H2BM",0.544805096239845,0.565585527695785,5.06487726620736,2.0175713607503e-05,0.00536484203636426,2.81772720676071
"AIG1",1.16516062944278,3.76195808784458,5.062432157292,2.03145314402887e-05,0.00536484203636426,2.81131478571629
"CD274",1.811801853336,6.21285806123636,5.04036830667234,2.16111480648202e-05,0.00557762119785152,2.75345301388595
"MAP1A",0.777118401444675,0.982898619526822,5.03743223343431,2.17898136356914e-05,0.00557762119785152,2.74575353297162
"SLC51A",1.5343909228644,2.32220069665116,5.03396576759503,2.20026552713832e-05,0.00557762119785152,2.73666326172448
"CTTN",1.36963734141986,2.4165085928297,5.03139469575221,2.21618600409317e-05,0.00557762119785152,2.72992109363136
"LRG1",1.65416530291019,6.93556668547017,5.02519926330821,2.2550234637232e-05,0.00557762119785152,2.71367495960043
"GPR84",2.49319974069594,3.69875536381339,5.02015936389682,2.28711816750855e-05,0.00557762119785152,2.70045923873965
"THBS1",1.11185330263747,1.91746791488701,5.01804244730955,2.30073466088811e-05,0.00557762119785152,2.69490830010789
"FCGR1A",1.88154021634959,5.10910661078691,5.01751699455201,2.30412701921044e-05,0.00557762119785152,2.69353047542423
